user id,test group,converted,total ads,most ads day,most ads hour
1,ad,1,33,Thursday,15
2,psa,0,1,Wednesday,12
3,ad,1,19,Monday,17
4,ad,1,2,Monday,9
5,ad,0,44,Thursday,18
6,psa,1,26,Wednesday,16
7,ad,0,32,Wednesday,23
8,ad,0,6,Friday,18
9,ad,0,32,Wednesday,22
10,psa,0,4,Wednesday,4
11,ad,0,11,Wednesday,20
12,ad,0,17,Tuesday,22
13,ad,1,38,Friday,8
14,ad,0,24,Monday,11
15,psa,0,5,Thursday,20
16,ad,0,34,Monday,0
17,psa,0,6,Friday,0
18,psa,1,22,Thursday,14
19,psa,0,11,Friday,1
20,ad,1,48,Wednesday,21
21,psa,0,16,Thursday,15
22,ad,0,33,Wednesday,7
23,psa,0,9,Monday,12
24,psa,1,6,Monday,20
25,psa,0,16,Thursday,0
26,psa,0,29,Thursday,15
27,psa,0,3,Friday,6
28,psa,0,20,Friday,4
29,psa,0,36,Wednesday,21
30,psa,0,19,Thursday,22
31,ad,1,26,Monday,2
32,ad,0,3,Friday,11
33,psa,0,19,Friday,15
34,psa,0,20,Monday,18
35,psa,0,32,Friday,4
36,ad,0,7,Wednesday,21
37,psa,0,41,Thursday,13
38,ad,0,33,Monday,4
39,ad,1,40,Thursday,14
40,ad,0,39,Friday,16
41,ad,0,18,Friday,13
42,ad,0,40,Monday,19
43,psa,0,1,Wednesday,4
44,psa,0,11,Tuesday,11
45,psa,0,28,Monday,15
46,psa,0,25,Tuesday,15
47,psa,0,23,Tuesday,20
48,ad,0,31,Wednesday,6
49,psa,0,30,Tuesday,3
50,psa,0,42,Tuesday,0
51,ad,0,35,Wednesday,4
52,psa,0,7,Tuesday,22
53,ad,0,16,Tuesday,9
54,psa,0,26,Tuesday,21
55,ad,1,48,Monday,4
56,psa,0,49,Monday,3
57,psa,0,2,Monday,1
58,ad,0,1,Wednesday,19
59,ad,0,48,Friday,9
60,ad,0,12,Tuesday,18
61,ad,0,5,Tuesday,0
62,ad,0,37,Wednesday,23
63,ad,1,32,Tuesday,4
64,ad,1,9,Monday,12
65,ad,0,41,Friday,3
66,psa,1,35,Thursday,15
67,psa,1,19,Tuesday,23
68,ad,0,48,Monday,15
69,psa,1,16,Thursday,22
70,psa,0,3,Friday,1
71,psa,1,20,Thursday,16
72,psa,1,24,Monday,19
73,ad,0,33,Thursday,23
74,psa,0,24,Wednesday,11
75,ad,0,11,Thursday,17
76,psa,0,49,Tuesday,2
77,psa,1,8,Tuesday,0
78,psa,1,36,Wednesday,0
79,ad,0,38,Monday,18
80,psa,0,40,Tuesday,10
81,ad,0,20,Friday,4
82,psa,0,35,Tuesday,11
83,ad,0,48,Tuesday,2
84,psa,0,25,Monday,0
85,ad,1,35,Thursday,0
86,ad,0,25,Tuesday,7
87,psa,0,29,Wednesday,9
88,ad,0,18,Thursday,10
89,psa,0,46,Friday,11
90,psa,1,18,Monday,12
91,psa,1,2,Friday,11
92,psa,0,35,Thursday,13
93,psa,0,16,Thursday,1
94,psa,0,41,Thursday,18
95,psa,0,36,Friday,17
96,psa,0,33,Thursday,2
97,psa,0,4,Friday,22
98,psa,0,33,Thursday,16
99,psa,0,14,Wednesday,7
100,ad,0,21,Thursday,9
